Unnamed: 0,Title,Poem,Poet,Tags
177,"
                    These kids running through pictures
                ","
before cameras could remember color, back when
the paint had not yet dried
on the world, and where was the fire? Everywhere
under their feet a patchy shining
and nothing tall standing plumb on either side
of the
street,canted saplingsand slow zigguratsin brick,everything
splayed
away from     the kids   who wreck,who make                 these pictures.
Their defenseless foreheads, the wet paving. Each cuts
their eyes at the adult who kneels, who stares
through a black birdhouse.
Their hurry does blur some things
on their way into the box: blousing coats
and bobbed hair, hungry auras. And something
without fail also is tucked
in the arm’s right angle: a ball, an orange,
an infant’s skull. They could not
strive more furiously
if it were an infant’s skull.
",Jane Zwart,"Living,Time & Brevity,Youth,Arts & Sciences,Photography & Film"
178,"
                    Sonnet
                ","
Glitz girls in the spackle. Teen climbed
The boughed over stair. Stole lace to begin again
In darkness, a fingering salt. Print
Delighted the line to lined
Pink. Was doll-sized, weighted out. Was flat-reaped sigh
And dollar bin plaid. Fridays we stayed in
Till in coughed through with dry heat. Men
Grew approximate in their longing for something to mine.
Sippy cup of burn, acrylic camel, and melting kohl
Was a hiding past boyish. We shone with miraculous
Droll. Don’t try to kiss me, she was always saying. Older
Than a watch, the girl who pays starch to hush
Meat. Gargantuan between grown and still us,
I leave her orange street, my wanting ode
",Anne Marie Rooney,"Living,Coming of Age,Love,Desire,Relationships,Friends & Enemies,Social Commentaries,Gender & Sexuality"
179,"
                    Diorama (woman on a cameo brooch)
                ","
Watch for them. Faint as aspen, peeled as birch,
walking the edge of the field raw. Any minute now,
you should start to see remote women flickering in the distance,
their smiles more flickering inside the flickering.
It isn’t hard to find them, but once you do, don’t believe them.
Confessing is just a big part of their drama.
Don’t we all know someone pale and drawn out from coming back  so many times,
someone worn thin from having to turn into the thread that turns into the rope
that turns into the river that leads her out of the fire she may have started?
It was supposed to be fragrant
and perennial like blossoming.
Their returning.
It was supposed to be copious and make you reach
for a wide jug hoping to catch it all.
Come back, that’s what these women do.
They climb out of oval frames hung on walls.
They use any open page as a little ladder.
",Catie Rosemurgy,"Living,The Mind,Arts & Sciences,Reading & Books,Social Commentaries,Gender & Sexuality,History & Politics"
180,"
                    From “Reconstructions”
                ","
I won’t explain. My aunts spell
                                                                                 around the vanity mirror
& centerpiece me, my lips plummed,
                                                        my neck belled mid-flight.
                 After the food’s uncooked, the heirloom paring knife
stitched up the bell peppers & dark meat,
                                                                    after the fiddle leaves
                             left their fiddles, the porch undressed of wasps & us
our old names—
                                          right here. As if even the evening
           didn’t let on. No parking lot, no gas stations. A scythe
of emptied prisons shudder
                                                       alongside the highway; bougainvillea
& gun oil in the sheets. All my cousins slow-dancing
                              in their cowboy boots & antlers.
                                          My mothers singing to the dogwood tree
             blooming black across my arm.
Your hand finally on the small of my back, without any kind of fear.
This time, I’ll be a girl & you can be anything
alive. Take the rope off your wrists.
                                                      Somewhere far away from here,
               a star’s unspooling its star-white curtain.
                                          What happens if we begin already angels?
Press your ears to my wingspan. Hum a little.
We are the most possible kind of daughterhood.
                                                                                    I promise.
Step into the light.
            Let me see the mark our rapture left behind.
",Brad Trumpfheller,"Living,Time & Brevity,Love,Break-ups & Vexed Love,Romantic Love,Relationships,Family & Ancestors,Gay, Lesbian, Queer,Religion,The Spiritual,Social Commentaries,Gender & Sexuality,Race & Ethnicity"
181,"
                    Tomorrow, No, Tomorrower
                ","
From up here in the leaves’ no-kidding goldishnessyou’d guess everyone was already in lovely w/ each
others’ cheekbones. Infinity scarves& vanilla coffee, mint tea, warm whatever.
Cozy becoming the coming-at-the-seams, a coupletof verbs mid-bodily inexperience.
That man doing cartwheels is not wearing a shirt
& in any other life I’d want to be the double darefanfaring a future so totally astonishedby his nipples. This is what I mean
when I say things like catastrophe.Okay, fine. Just one more winter.
Nothing can compare anymore to us anymore.
You big good oak limb. I’m in such cute like w/ you today.In one diary of my have-beens, my mother
named me Elizabeth after one of her
mothers. You god particle. You matrilineage.I’ve never lived anywhere more
or less this haunted. She named my sister
Elizabeth. You boygenius. You midsummer pinky promise ring.
There’s this person I know I’m not in love w/ but wears
a dress patterned like a postcard from the state my grandmadied in. Imagine waking up
a whole frame away from your bedsheets. Imaginewaking up & being anything as yellow
as a dress. You treeline. You root song. What’s an amountof time equal
to you? You kindling ring finger. You unchewable bark
but the headache’s gone. Pardon me, dandelions,have you seen my ghost, six foot nothing,
has an interstate for a mother but also a mother? Adjustyour spurs, honeybunch. This time I’m writing all of us
in pink ink. Let’s huckle-buckle off into the leafiestof all possible genderings. You know how the rain
starts right after you get home & the country songyour friend slow-danced w/ her big love to, the one
your mom would play real quiet on her moonbeamhighway streak back to Pensacola, is somehow
already at the chorus & you forget there are words like joy?Or when someone whispers Imagine you never met them
back at the bum, grinning stars? You remember.It’s like that.
Or, is that. The difference between salt & salt. A somedayof matching sweaters.
Told you it’s cute. O sweaters. O little knitbundles of vegetable-spit. It’s always sunsetting.
You golden hour. You soap-soft seasonal.Once my mom found me
sitting in a circle of candles, touching each rosebud& sat w/ me until we were wax musuemsof our secrets. Look—
the sky’s a toenail & the moon’s a chesthair. All the shirtlessboys have tired themself out, spread-eagled
& slapping the sun off their shoulder blades. My body is a lineheading for my body. You crushed-grass
sex smell. You dirt-inverted comma. Someone w/ bleachedhair is biking home to restud their denim.
I rediscovered kissing foreheads & it is so yes again.
Hurry up & sunspot, daylilies!The cops aren’t going to awe themselvesto death & we have
a dictionary to laugh across.The light’s seltzer, bubbles.I said My lord. I thoughtMy god. O moonstruck. O gladracket. Barringgravity, our knees could be forevering each other.
Barring leather, love is a world I’m prayingall my mothers’ joy back toward.
Elizabeth was my name. I’m writing this on all the trees like a wish.I’m kissing every hem in sight.
We’re all hysterical & going nowhere together.C’mon rapture. Let’s go bedazzling.
Nothing gets futured without its own spitshine
& I’m already not not not not not not miraculous.
",Brad Trumpfheller,"Love,Desire,Relationships,Family & Ancestors,Nature,Fall,Trees & Flowers,Religion,The Spiritual,Arts & Sciences,Language & Linguistics,Social Commentaries,Gender & Sexuality"
182,"
                    Zouzou
                ","
Ain’t of no kind word in what they’ve been telling you.
Heard they call you “Song Bird” these days. Part your beak
and collar the long part of neck with sapphires.
Girl, when are you going to see
you aren’t ever goin’ be one of them. Don’t mean a thing
they pour prosecco in porcelain dishes.
Let you lap leftovers from their palms. Do they pinch
your sides to regurgitate the slug of white cake, candied
roses, the baked breasts of hummingbirds?
Merchant the fetid smell of it into crystal?
I heard their trade ain’t much different
from what is done here at home. Only difference
is they prefer their Black rare and chilled over ice,
fine caviars knifed from the ovaries of the South.
Maybe at night you prowl the Turkish rugs.
Dressed in Schiffli lace, an ankle ribbon tagging
you rare specimen. Do they call you beautiful
for one of your kind? Pocket your songs
and measure your skin for couture.
And for who do you think it will make
statement when worn to the Grand Palais Garnier?
",Jasmine Elizabeth Smith,"Arts & Sciences,Music,Photography & Film,Social Commentaries,Gender & Sexuality,Race & Ethnicity"
183,"
                    Boarding House
                ","
Dark corridors, crammed bedrooms, stairs that smell
of cigarette smoke and impermanence.
Long days of waiting. Ringing of the bell
that calls us to our dinner. Shillings and pence
that fill the hand. The wallpaper. The pulse
of other people’s half-heard arguments.
The landlord’s dog. Interminable phone calls
in the lobby. Someone is falling apart,
another’s longing to be somewhere else.
You hold on to the street map of your heart
and make yourself at home. You’re here at last,
whatever “here” now means. Now you can start
your childhood again, the world a mythic past
you’ll wander into by mistake, the joys
of lost performance with a vanished cast
of now-imagined names that other boys
might whisper just to put you in a spin.
It is another language that deploys
the tottering edifice that you live in.
Strangers will come and go, are gone for good.
The bedrooms empty. Here is a new skin
for you to wear in the enchanted wood.
",George Szirtes,"Living,The Mind,Youth,Relationships,Home Life"
184,"
                    My partner wants me to write them a poem about Sheryl Crow
                ","
but all I want to do is marry them on a beach
that refuses to take itself too seriously.
So much of our lives has been serious.
Over time, I’ve learned that love is most astonishing
when it persists after learning where we come from.
When I bring my partner to my childhood home
it is all bullets and needles and trash bags held
at arm’s length. It is my estranged father’s damp
bed of cardboard and cigar boxes filled
with gauze and tarnished spoons. It is hard
to clean a home, but it is harder to clean
the memory of it. When I was young, my
father would light lavender candles and shoot
up. Now, my partner and I light a fire that will
burn all traces of the family that lived here.
Black plastic smoke curdles up, and loose bullets
discharge in the flames. My partner holds
my hand as gunfire rings through
the birch trees. Though this is almost
beautiful, it is not. And if I’m being honest,
my partner and I spend most of our time
on earth feeding one another citrus fruits
and enough strength to go on. Every morning
I pack them half a grapefruit and some sugar.
And they tell me it’s just sweet enough.
",Kayleb Rae Candrilli,"Love,Realistic & Complicated,Relationships,Family & Ancestors"
185,"
                    Origin Story Ad Nauseam
                ","
A thing stolen say a spoon say gone before morning shook or worse unable to reorient a slip of the wrist and you’re married the spoon is small is decorative the length one walks back to oneself a shadow’s length or less a belief in one or other end reflects the particulars of one or other neurosis my caldera my Zika my bug-out in a camo pick-up still as damn now nothing happened say the spoon means jack the marriage too say a container is a ritual the spoon which is your bath your mirror is saving your life or more with earned misfortune still a house is not yours a body a personality the collection of traits the fear of heights of Zika the boy with his screen the game with its gun the bath with its salt the outer layer stripped and like an iris shrinking in the light of yet another the trick is not to mind the slanted rain the lack of sleep his screen the light of screens their shelter the shelter is not yours the marriage with its many utensils is silver in the same way love is sheer is tugging at your sleeve there was a plan a bunker the love-thing barely walking to a garden to a den of rifles with a knack for game a river say twice the width of home and gold and rising say it floods the rooms which are not yours the love-thing say the ritual of bathing does you good the thing beyond the body which is you is peeled back and massive barely anything at all the bucket you were dropped in the river the swallowing of itself in infinite configuration infinitely frayed the boy is you the man the screen with its various positions its many worshippers which are you say nothing really happened not the end the spoon the house with its ammo was a game the game of angels which are you
",Robin Richardson,"Living,Marriage & Companionship,The Body,Love,Romantic Love,Relationships,Home Life,Social Commentaries,Crime & Punishment"
186,"
                    Across the Street
                ","
I ran across the street, I didn’t know any better.
Ran out in the street, I didn’t know no better.
I just knew a woman was there, though I’d never met her.
She sat me in her parlor, distracted me with trinkets,
milky glass birds and fish, distracting trinkets.
She said my mother would be fine, but did she think it?
The world was a blur of crystal wings and fins.
My tears were casked in crystal, wings and fins.
She was the first of many lady-friends.
The tree shadows shortened, she brought me a drink of water.
Morning matured, she brought me a glass of water.
I drank it so fast, she went and brought another.
I kept looking out the window, she didn’t ask me what for.
I watched out that window, she didn’t ask what for.
The seconds broke off and lay there on the floor.
I imagined my mother’s route, as far as I could.
Her long morning walk, followed as far as I could.
Nothing I could do would do any good.
Suffer the little children, and forbid them not.
Christ said suffer the little children, and forbid them not.
Said love thy neighbor, sometimes she’s all you got.
",Austin Segrest,"Living,Death,Sorrow & Grieving,Love,Desire,Relationships,Family & Ancestors,Men & Women,Religion,Christianity"
187,"
                    Dear Pop
                ","
Everything we do and say in patriarchy can be traced
back to “Strangers in the Night.” Your faded jeans, my
faint daytime smile. (Dazzling’s so expensive.) Bad
Mailer novels; lose-money-quick schemes. A fortune in
friendship, nevertheless. Beef farmers favor self-flesh
awareness. (Or brittle in toffee queen regimes.) Thoughts
as feats of strength. The figure in the woodpile as a
white snake, two needle bites. The end of the week, of
us, strangers now or not? I’m dressed in white, I am the
right blonde in the wrong seaplane, I haven’t learnt the
language yet. The meta-leopards will have taken over
the aquarium. They’ll stroll this way like kangaroos to
green glass. Papa, I’ve upset you. There’ll be a line of
songs like crystals lining up to kiss the bell that says Big
Town. We are on the roof now, playing to Central Park
everyone hot in their coats. Paid for not stolen. They
admit to being too late for miracles, for charity. The
poem’s parents are in the front row. The poem’s friend
interprets. Can we repeat it without going back to the
start, the lover’s demand like ants beneath the plaint?
In Eden, in Athens, estrangement flowers. We turn and
return. Is it love itself, beckoning from the lurid grass-
lands? There’s a cuteness to plaster’s novelty hiding of
the body. People are cited in the mouth, stand on the
ground. They fly like Lucy. You can deny it all for fun
and parties, as if the mind was the feeling that input
gives. It’s a power no one likes to admit, as it so often
leads to failure in later life, like living in a swimming
pool, or losing your tongue in the mail. What of
romances with characters from books? Alice says hello
I remind her of a cookie in a dream she had of heaven or
hell—but which was it? Everything that happens in the
world has someone to say it’s their fault, repress it as
they may. The cutout in the cocktail bar wants to go
home with someone for once. The snakeskin hangs on
the gate like it’s a street corner, that each uttered “baby”
renews. Knowing can be a means to forgetting, also
We stand there as if the floor or wall is our companion
our fortress in trouble: mates a bit longer, keeping sex at
bay. Not everyone looks where they’re going or cares
where others are. They’re the rugged ones, though fleet
as moths when crossing a highway. Sometimes, despite
our own egos, we admire this, as if wise that the pattern
of the one ahead won’t ultimately save or brave us
Don’t rush. The star we wake to mightn’t always be
there, so we wander outside as if air were itself a prayer
or someone’s. Is that for me? addressing an ivy or a wet
plank, suddenly hungry. Tell me what happened to Peter
and Wendy and the loser with the hook for a hand. Was
it all alright in the end? They say time is nothing but it
takes the saying to make it so. To be the one is to
vanquish Sinatra, but also life (not that life is patriarchy)
Repress the possibility for the sake of staying young, as
around the bend a boat may contain the set of problems
that will have always been around. Attitudes to dancing
housework, contraception, ever music’s themes. A wall-
flower may remind themselves of wallpaper, peeling to
reveal a peasant who goes to sleep at dusk behind their
tux, but does that haunt you more than the possibility
of possessing truth? Is that what your glances are about?
",Michael Farrell,"Living,Life Choices,The Mind,Love,Desire,Realistic & Complicated,Relationships,Arts & Sciences,Music,Reading & Books,Social Commentaries,Gender & Sexuality,Mythology & Folklore,Fairy-tales & Legends"
188,"
                    Weatherman
                ","
A cloud spelled out a rune I couldn’t read
fast enough before it morphed into
another form that changed again, so I
recited something true enough from an ancient
book: “The wind blows to the south and turns
to the north; round and round it goes.” The screen
went blank and then the slip. No matter, I thought,
I’ll drive a truck. “The clouds are codes for reading
the blues,” I said beneath my breath as I
walked out into the rain with my umbrella
and attitude that kept me lean if un-
employed. A hermit thrush reported the dusk
somewhere in the woods on my way home and I
called back like a human bird who’d lost his wings:
“Light’s such a fickle thing but I sing for it.”
",Chard DeNiord,"Activities,Jobs & Working,Nature,Weather"
189,"
                    Object Permanence
                ","
Knowing my passion for celebrity nudes reached back to the last days of Netscape Navigator, Siri dutifully told me of the latest gossip site to promise their release.
Lawyers had sued to block the nudes’ coming to light and thereby confirmed they exist, she said. I resented the assured existence of any celebrity nudes I had yet to see, insisting all stars were both clothed and unclothed until the moment the webpage was loaded—at which point truth would be made clear.
Siri disapproved of my inaccurate interest in Schrödinger and his daguerreotype nudes, whose bits I’d heard were coffined up behind some Princeton research paywall full tuition granted access to. She explained I could save my money: how all nudes took form already, stored as light in fiber optic cables stashed in the oceans’ aphotic sands. HTML5 would dredge up everything.
Hypertext did not excite me, but I had to admit pleasure at the thought of seabed celebrity nudes leaked by wolffish. Would they float? Form islands? I saw archipelagos of nudes in a cold Atlantic full of them.
I asked Siri what she thought of my nudes, the lighting I’d used—their dark, private silhouettes. Bring your umbrella, she said. I looked at the thick cloud of my nakedness above, and agreed it was possible for rain.
",Melian Radu,"Living,The Body,The Mind,Love,Desire,Social Commentaries,Gender & Sexuality"
190,"
                    Rail
                ","
The Inaccessible Island Rail lives in Atlantis,
with two black feet on the black plateau.
It might be slight, it might be shabby,
but it knows what it knows.
Rain falls from the sky.
The sun shines, within limits.
Wind blows in from the furthest west.
There is nothing beyond the cliffs.
Island Cape Myrtle is not true myrtle.
It is not the one in the myths.
Wind-stunted trees fill the fern-bush heath.
Sweet Roman Myrtle, True Roman Myrtle. Lies beyond the cliffs.
What there is is sparse.
It is made of grass and ferns.
The birds fill what they can with themselves and fledglings
in boulders that lightning burned.
They eat beetles, flies, moths.
They become what comes of trying.
The downy undersides of the leaves, they take it.
Until they can’t. They take to flying.
Trying, the wind does what it can.
In time the strangest things occur.
The tunnel finds itself inside the grass, and eggs
of milk, of lavender.
",Clare Jones,"Nature,Animals,Mythology & Folklore,Fairy-tales & Legends"
191,"
                    Traveling Broke & Ugly
                ","
My husband doesn’t believe me—that the dogs barked nightly
at the spirit in the corner of the kitchen. That I knew of a family
whose quilts were flung against the wall mid-sleep. Once, I told him
I met Satan in Scandinavia, and she had pigtails and a machete
sticky with spiderwort. She couldn’t have been older than six
or seven. Her ancestors were Vikings. They boiled firestarters in urine
and when she approached me, she laughed and called me ugly
three times: stygg stygg stygg. With the same gurgle of the growling
dogs. With a film over her eyes, bobbled back into her head. Then
she giggled and ran away. Later in the hotel room, I anointed
my forehead with oil—right thumb tracing the Sign of the Cross,
howling in the name of the Father and the Son and the Holy Spirit
amen.",Megan Denton Ray,"Activities,Travels & Journeys,Religion,Christianity,Faith & Doubt,Mythology & Folklore,Ghosts & the Supernatural"
192,"
                    [Immigration Headline]
                ","
[byline]

northern triangle—First, I lived near mud, there, I carved some things. Then, I found a well, yo soy un bicho migrante. I had to climb trees, find mollusks, made a knife to eat them raw. Later, later-later, I worried about firewood, pots to cook. I asked ¿Where did my parents go? ¿Where? ¿There? I walked to another tree, another shore ... ¿Where are they now? I carved more: my face, my parents’, an alligator’s, yo soy un bicho migrante. ¡But no! I got tired of waiting, of playing, I wanted to see more. I found a river, found a road. Found more like me, a bunch of us waiting for more of us to flee. A tribe. A small village, yo soy un bicho migrante. I saw there were rules, clothes kept dry in plastic bags, phone numbers written inside pants. They also made fire, carved things into the mud. Asked ¿De donde sos vos? I pointed: de allá. Said I didn’t have plans. They answered, ¡Bienvenido! Tapped their feet on the dirt, yo soy un bicho migrante. We walked on the road, then along the road looking for food. Through the forest, through the mountains, we looked for mud, for frogs, for—¡There! ¡There they are! We played our favorite game, until I got bored again. Yo soy un bicho migrante. Nights are boring. Fireflies ... boring. Stars, the moon ... Well ... I began to let myself think ... babosadas came to mind: countries, passports. Then, I walked away from everyone, got to a mountain, then another one. Got to a river where I saw rats. ¿Have you seen the tribe? ¿A savage bunch that makes fires from trash? In a hurry they chased after me. I ran north. Found a few others. Or, maybe it was just me. To eat you have to believe, they said. Handed me something in the dark. Yo soy un bicho migrante. Saw pizza in the dark, hamburgers, clouds maybe. Maybe clouds. I saw fireflies. Few days had passed. I felt like an empty road. I invented machines. Planes. Fast cars. I barely had time to learn their names. I barely had time to say goodbye. Yo soy un bicho migrante. Years later, I filled forms. Wrote my name & woke up in a bed that had traveled 56 days, 56 nights. Then, came an election. War. Kids kept coming, but I had to find work. Wrote so many books my hands got tired. Made alternatives for plastic. Someone separated people into groups. Trees were cut extinct. But I destroyed fences, jailed kings, invented a replacement for countries. We searched for  purpose. Happiness. ¡Anyone could travel anywhere! We learned new languages. I had looked through the window I wasn’t supposed to. Yes, I looked. ¿What can I say? So I could be certain I looked & broke through. Yo soy un bicho migrante. But maybe, just maybe, I’ll return to that well & begin carving mud again. I’ll carve the whole world backwards. But no. Maybe not. Migrating has no beginning. No purpose. Yo solo soy uno de muchos bichos migrantes.
 
",Javier Zamora,"Activities,Travels & Journeys,Arts & Sciences,Social Commentaries,History & Politics"
193,"
                    [Immigration Headline]
                ","
[byline]

ocotepeque, h.n.—I was born in a little town. This was not very long ago. I think I was four five years old. Parents let me do whatever: I looked up at the sun, I loved the sun, it burned a dot in my eyes. Mom was saying we must go catch the bus soon, instead I grabbed a piece of wood & etched it. Sucked it like my own thumb to learn something no one else had. Don’t judge my face. Girls like me. Boys like me with my long hair, I relish it. I love my father very much. More than anybody. He stayed. One morning I come home. He isn’t there. Down the road, this crowd. I drive the crowd away. This is my father, I say. Ask them this thing they allow: his body given to me. I dissect it. Anatomy, my father taught me.
",Javier Zamora,"Living,The Body,Youth,Relationships,Family & Ancestors,Arts & Sciences"
194,"
                    [Immigration Headline]
                ","
[byline]

la herradura, s.v.—¿Do I have a mother? Have her pinkie in my hand crossing the street? Have her breath on my hair as she sings arru-rru mi niño to sleep. ¿Don’t you mean where? ¿What was your question? I’m older. Think more about memory. It makes me crazy. Obsessed. Her warm breasts on my belly as she knelt to tell me todo va estar bien. I’ll never see her again was the fear as if she’s gone, died, will never come back. I whispered it hidden in banana groves looking at the sky hoping one of those planes would take me to wherever she had left to. Whenever Mom hung the clothes to dry, not a cloud in the sky. I could see her sandals picking up dust. For a second. For a second I believe she’s back. It went like that every day. Every single night.  I’ll never see her again. But then, I did. Her face. Her hair. She was the same. So much had changed. I do not remember  what it was I truly felt.
",Javier Zamora,"Living,Separation & Divorce,Sorrow & Grieving,The Mind,Activities,Travels & Journeys,Relationships,Family & Ancestors"
195,"
                    From “Architektonis: Twenty for the Chicago Architecture Center”
                ","



That [science] which treats of those conditions of knowledge which lie in the nature, not of thought itself, but of that which we think about ... has been called ... Architectonic, in so far as it treats of the method of building up our observations into system.
—Sir William Hamilton 
... one of which systems is a poem.



1. what the chicago window was for
mainly light.
      the supporting function
on the sides      opens to let in
      air.      the proportion
wall to door   dependent on heat.
      repeated upward
into cold      wind
      around the columns
and garland
      sky high   reflections off the face of their
investment   the blueprint raises money longer
      hours   profit piles up
the american beauty    of  work   yourself
      to death to look out on.2. otis
railroad architecture ran elevators
off the ground to get weight it needed up
like people off land to get over      then
an elevator railroad floated architecture
up floors open as plains to the sky
through walls into rooms coupled like cars
to each other without a climb
hallway distances like vistas through
zigzag mountain valleys as work’s landscape
the first time since walking sheep in the cloud
meadows far away from the later smoke
the elevators laid more meadow out
than the mountain had basis for
its little square created acreage out of air.
more than the fiery iron horse   the hidden
legged spider wove worlds more tightly into
her realm of feeding upon   more needed
immediately   she trained her fare
into catching her by waiting for her to swallow
the fat rides she needed to keep her moving.
and moving faster with no feeling
of movement   she has architecture anesthetized
to no other way   as long as there is up
it will feed her with it.
she has learned
how to go streetwise   through airports
she tells you when
the moving walkway is ending.3.
the rookery
was built out of birds
which were actually
individual flames
not really
birds with fiery plumage
they stood out against
the masonry of black smoke
all that survived the fire.   I have
that x-periential thing about fire that makes me crazy
at even the thought of it   I  x.
so the idea of the city
having only this place for birds to land after
took me a long time to visit.
the difference between locate    identifyknow something about   and visitre-experience   identify with         is
in if   the roosts that become return   call back a sky
unclear how much what’s left
tells that much
about what has been lost   enough
to nest its shard against which tomorrow lies best
living its death until death is shown the lie
it lives into life.   it stirs
nothing suddenly.   more the politicking of birds
found a place to buy
and sell    the audacity
to have survived.   as the architectonic of a city.4. any programmable hall
crown hall is a lyric
miniature of bridge
el and street-stacking
engineering.
railroad
building   to art song.
the base   work. the columns
of profit.   and a capital.
the vast empty spaces
re-created
inside are potential.
what ended frankenstein   always waiting
to be given life   it already has.
any programmable hall   a machine.
but these are new life
designing already
itself      piece
by piece      cell
to embody   back maybe even
the species that crashed
into the vast invisible window
walls   in their migrations.
the artificial intelligence of walls
in the first place   that beheld us in
to our cathedral
now   to other worlds
out of the darkness.   the light
the open.   in their way   the intelligence.5. against all that square straight up
the hancock leans away in all
      faced direction from you
to the side   up ahead
      the darkness so strictly structured
it erupts in a gusher of sky   pure
      american   brought in
against all that square straight up
      drill   out on the plain of it    all x-ed out
into simple
      optimistic shift of dimension.
all tapering has its vanishing point.
      infinity its asymptote.
any two lines converging downtown has
      its hancock   its lift off      michigan avenue. pyramid6. the aqua
only underneath
the water from the street
can you see up
the moss hanging floors
of the waterfall cliff
orchids of light
off the ledge balconies
the re-vegetation
of the canyon
the re-visualization of our spaces
from our animal
need to be curious about what’s around
our corners not just
that they square.
the walls of wave canyons
beneath the southwest   wash out up here
with clear views divest of the ground
to dust   of much that has lifted them to where
they can see
is runoff.
a drainage of romanoff
richness in its dissolution   of geography.
the appalachian humps—
bodies bedded the long house
state to horizon    the smokies roused
from the valleys by the updrafts’ bump
you to look up into
a landscape from a bird up   turned view.7. 860-880 lake shore drive
we were discussing how devoid of everything—
it was
             she was listening to our conversation
she said   she had lived in one
of his residences   and it was calmly scary
how the building almost wasn’t there
yet everything you needed was
within reach
                      the way she went
at things was the way it was
already it was like there
were no walls
                           which made it feel
really spacious   she was never in a place
that fit her so every
where she turned was where
she wanted
it directed her in
that it didn’t
everything was there
everything else was out of her way
it was as if he refused
to build in the way   anything ever again.   it was almost insane.
                                                                                                             
 
                               ( lake point )
rippley mies
van der rohe licorice
melting      farthest out
into the lake
walls waving around
like a curtain   a sail
of window
melting into solid wind
lotte lenya singing brecht
the remembered ship
against which the rational was not a defense.
which loaded his tools.
nothing but the existence of line
left   not even a rule.   the pencil   the point wavering8. marina
pie in the sky with petal
pinched crust   stacked high
above its park of delivering vehicles
on the river   a pie boat too
can cut in   (there’s a marina) home
to pinecone peel down balcony
symmetry fun for tie up
and sing dock of the day   as it.
this city doesn’t hold back
bay manners up   nor not
talk straight    it does look like
a corncob.   a celestial gate   from here
a bean.   cakes
of ice   with faces on them. us.   a fountain.
the base.   the column.
of river   wheels   roof
over your head with food
and amenities layered in
between
your work all day and immediate
need to sit down   without traffic
stacked up in one convenient
location   residents willing to pay
for required.   freedom
of imagination   insight   into freedom—
the capital.      let’s say
to try anything once
but more deeply   freedom from fear   of response.9. the drawbridge houses
the boats go by
the drawer
bridge pants’ flies
go up
the river
like the moaners’ bench
of fifteen-year-old boys when
the girls go by.
think how heavy the weight
that balancing   lifts
to let the delicately lilting
sails like skirts through   and the traffic
back across
if it were in your pants to toss
up or down.   the massive
concrete counterweights like balls.
streets go up   at the helens
navigating the obstructions    some
not come down   except at some castrating
war of recollection      a reconnection.
think of the engineering
of the open and close   as of arms.
who houses in the palaces of these gates.
what counter power holds place
on the bank of this flood
this flowing and crossing of desires?
the palaces   balance’s hub
a dowry to house the form   of the beloved.11. di chirico chapel
a Franz Kline ceiling painting on
the tunnel vault of a building
which incorporated its partial collapse
from a bombing   the black paint swaths
beside the open to the night sky
the stars
the outdated old style of stars
lit the chamber pale
a standing shadow fell across the floor
through a small open door slanted off the wall
the no one there stood outside any light to block
her hoop balanced
on its own shadow not rolling   still
a dress model of its architecture rose   off the air.12. the mecca
this isn’t there
anymore   something famous
is built over
it    that has nothing
to do with it    or for
now
as public
housing went up and
torn down
too to defeat
.
.
.
.13.
robie house mock  horizon sub  urb laying down   
its give up retreat from the city   back into
the low against the ground   against the high
of skyscrapers      re-carpeted the nation outside.
but is back now to reclaim
the collapsed properties   it let go grow
weed to re-gentry
heedless of tearing up whose rooms   back into profit.
the however   here
police drawn blood on their doors   have lived
dangerous and can paint it angel mad    sign again
anytime   if flipping back and forth for gain
were to spread too far   the spread could find their
horizontal shrunk to their floated upper floor.14. shedd aquariumArapaima gigas   third
most ancient species   my totem fish
made so from the fact it targeted me
to eat.      six feet of it attacked me
when forgetting protocol
I slipped my legs into its tank without
warning
it    I was feeding not food   it mauled
my toe it thinking it a goldfish which
was usually how I announced service.
The Shedd’s A. specimen is the oldest living
in the country   so old its heavy tail
dragged down its spine into that hump of the frail.
This might be the last time we meet.
Some sheds you walk into with experience
of a specific song to reclaim.
I couldn’t see the building for checking first
the clarity of the tanks’ water   the name
plates above the windows   how well
the shit was cleaned off the bottom   and if it came
there was nothing in a tank at all   having
eaten itself—      this first fame
is what was always held up to the staff
for us to surpass.     and here I was   degrees
and jobs later   still holding it up
for inspection.   it is
a beautiful building we have built
together this life    arapaima      gigas. huge thanks.
",Ed Roberson,"Living,The Mind,Activities,Jobs & Working,Nature,Animals,Landscapes & Pastorals,Seas, Rivers, & Streams,Arts & Sciences,Architecture & Design,Philosophy,Social Commentaries,Cities & Urban Life,Money & Economics"
